date,description,amount,category
2024-03-21,TechCorp Salary,2706.84,Income
2024-03-21,Studio Rental,1585.79,Rent
2024-03-22,Train Ticket,168.37,Transport
2024-03-22,Movie Theater,263.65,Entertainment
2024-03-23,Local Bistro,374.46,Dining
2024-03-23,Internet Subscription,48.51,Utilities
2024-03-23,Cell Phone Bill,185.4,Utilities
2024-03-23,Internet Subscription,39.52,Utilities
2024-03-24,Market Basket,93.43,Groceries
2024-03-24,Pharmacy,273.24,Healthcare
2024-03-25,Macy's,307.26,Shopping
2024-03-26,Walmart,265.72,Shopping
2024-03-28,Movie Theater,488.12,Entertainment
2024-03-28,Samsung Online,490.53,Electronics
2024-03-28,Whole Foods,321.52,Groceries
2024-03-28,Local Gym,69.97,Entertainment
2024-03-28,Doctor Visit,352.08,Healthcare
2024-03-29,Train Ticket,368.82,Transport
2024-03-29,Safeway,404.51,Groceries
2024-03-29,Pharmacy,297.38,Healthcare
2024-03-29,Internet Subscription,182.42,Utilities
2024-03-30,Postmates,206.12,Food Delivery
2024-03-30,Best Buy,12.39,Shopping
2024-03-30,Best Buy,80.08,Shopping
2024-03-31,Insurance Premium,498.94,Healthcare
2024-04-01,Best Buy,81.72,Shopping
2024-04-01,Doctor Visit,142.91,Healthcare
2024-04-01,Studio Rental,1234.02,Rent
2024-04-01,Samsung Online,19.97,Electronics
2024-04-01,Water Utility,22.92,Utilities
2024-04-02,Pharmacy,299.77,Healthcare
2024-04-02,GrubHub,108.31,Food Delivery
2024-04-02,Movie Theater,223.64,Entertainment
2024-04-03,Whole Foods,196.73,Groceries
2024-04-04,Micro Center,55.92,Electronics
2024-04-04,Consulting Invoice,5485.62,Income
2024-04-04,Starbucks,473.19,Dining
2024-04-04,Market Basket,115.34,Groceries
2024-04-04,Uber,194.13,Transport
2024-04-05,Monthly Rent Payment,1642.7,Rent
2024-04-05,Dell Store,493.02,Electronics
2024-04-05,Electric Bill,195.28,Utilities
2024-04-05,Sushi Place,121.63,Dining
2024-04-05,Cell Phone Bill,445.03,Utilities
2024-04-05,Spotify,482.33,Subscription
2024-04-05,Electric Bill,285.35,Utilities
2024-04-06,Apartment Lease,2334.79,Rent
2024-04-06,Market Basket,367.77,Groceries
2024-04-06,Netflix,91.95,Subscription
2024-04-06,Dell Store,125.45,Electronics
2024-04-06,Studio Rental,2308.28,Rent
2024-04-06,Walmart,312.1,Shopping
2024-04-07,Bowling Alley,233.29,Entertainment
2024-04-07,Lyft,450.16,Transport
2024-04-07,Apple TV+,115.54,Subscription
2024-04-07,Shell Gas Station,19.48,Transport
2024-04-08,City Parking,40.43,Transport
2024-04-09,Insurance Premium,300.56,Healthcare
2024-04-09,Shell Gas Station,261.99,Transport
2024-04-09,DoorDash,218.88,Food Delivery
2024-04-10,Spotify,98.19,Subscription
2024-04-11,Walmart,43.15,Shopping
2024-04-11,DoorDash,192.79,Food Delivery
2024-04-12,Apartment Lease,1146.87,Rent
2024-04-13,Netflix,456.78,Subscription
2024-04-15,Apple Store,304.53,Electronics
2024-04-15,TechCorp Salary,2419.54,Income
2024-04-15,Macy's,446.85,Shopping
2024-04-15,UberEats,68.05,Food Delivery
2024-04-16,Internet Subscription,63.28,Utilities
2024-04-16,Best Buy,229.51,Shopping
2024-04-16,Uber,278.47,Transport
2024-04-17,Water Utility,394.35,Utilities
2024-04-17,Apartment Lease,2372.34,Rent
2024-04-17,Macy's,56.73,Shopping
2024-04-17,Apple Store,400.22,Electronics
2024-04-17,Concert Venue,209.35,Entertainment
2024-04-18,Postmates,442.33,Food Delivery
2024-04-18,Sushi Place,367.69,Dining
2024-04-18,Local Gym,95.91,Entertainment
2024-04-18,Market Basket,283.35,Groceries
2024-04-19,Target,290.57,Shopping
2024-04-19,Starbucks,268.59,Dining
2024-04-20,GrubHub,273.38,Food Delivery
2024-04-20,Electric Bill,72.45,Utilities
2024-04-21,Electric Bill,470.04,Utilities
2024-04-21,Pharmacy,254.89,Healthcare
2024-04-22,Micro Center,405.59,Electronics
2024-04-22,Local Bistro,136.49,Dining
2024-04-22,Apple Store,159.72,Electronics
2024-04-22,Apple Store,165.64,Electronics
2024-04-23,Stater Bros,233.08,Groceries
2024-04-23,Doctor Visit,106.32,Healthcare
2024-04-24,Train Ticket,235.18,Transport
2024-04-24,Netflix,331.66,Subscription
2024-04-25,Movie Theater,356.13,Entertainment
2024-04-25,TechCorp Salary,3764.83,Income
2024-04-25,Insurance Premium,79.96,Healthcare
2024-04-25,Electric Bill,205.72,Utilities
2024-04-26,Postmates,313.34,Food Delivery
2024-04-26,Apple Store,235.49,Electronics
2024-04-28,Dell Store,236.16,Electronics
2024-04-28,Stater Bros,17.0,Groceries
2024-04-28,DoorDash,83.73,Food Delivery
2024-04-28,Consulting Invoice,6008.46,Income
2024-04-28,Internet Subscription,35.95,Utilities
2024-04-29,Samsung Online,381.04,Electronics
2024-04-29,Walmart,152.78,Shopping
2024-04-29,Spotify,490.69,Subscription
2024-04-29,Stater Bros,89.01,Groceries
2024-04-29,Amazon,148.11,Shopping
2024-04-30,Monthly Rent Payment,1438.25,Rent
2024-04-30,Starbucks,485.11,Dining
2024-05-01,Cell Phone Bill,319.71,Utilities
2024-05-01,Studio Rental,2393.85,Rent
2024-05-01,Amazon,219.67,Shopping
2024-05-02,Market Basket,306.63,Groceries
2024-05-03,Apple TV+,57.65,Subscription
2024-05-03,DoorDash,229.27,Food Delivery
2024-05-03,Doctor Visit,467.95,Healthcare
2024-05-04,Stater Bros,343.8,Groceries
2024-05-05,Starbucks,435.99,Dining
2024-05-05,Water Utility,395.61,Utilities
2024-05-05,Dental Care,222.59,Healthcare
2024-05-05,Train Ticket,166.07,Transport
2024-05-06,Apartment Lease,1878.73,Rent
2024-05-06,Market Basket,255.02,Groceries
2024-05-06,Consulting Invoice,4666.17,Income
2024-05-07,Chipotle,191.27,Dining
2024-05-07,DoorDash,68.3,Food Delivery
2024-05-07,Disney+ Amazon Prime,380.65,Subscription
2024-05-07,TechCorp Salary,7961.07,Income
2024-05-08,Trader Joes,351.75,Groceries
2024-05-08,Trader Joes,279.82,Groceries
2024-05-08,Internet Subscription,47.16,Utilities
2024-05-08,Walmart,409.61,Shopping
2024-05-08,Electric Bill,472.54,Utilities
2024-05-08,Micro Center,7.84,Electronics
2024-05-08,Dell Store,399.91,Electronics
2024-05-08,Apartment Lease,1450.32,Rent
2024-05-09,Dell Store,97.48,Electronics
2024-05-09,Postmates,237.17,Food Delivery
2024-05-09,Best Buy,454.31,Shopping
2024-05-10,Dental Care,69.0,Healthcare
2024-05-10,Market Basket,339.28,Groceries
2024-05-12,Whole Foods,149.32,Groceries
2024-05-12,Freelance Payment,4788.58,Income
2024-05-12,Dell Store,35.67,Electronics
2024-05-12,Studio Rental,1183.61,Rent
2024-05-13,TechCorp Salary,7238.88,Income
2024-05-13,Apple Store,376.89,Electronics
2024-05-14,Sushi Place,229.21,Dining
2024-05-14,Doctor Visit,48.9,Healthcare
2024-05-15,Apple Store,472.4,Electronics
2024-05-15,Pharmacy,239.89,Healthcare
2024-05-15,App Store In-App Purchase,1.33,Electronics
2024-05-15,Cell Phone Bill,260.29,Utilities
2024-05-15,App Store In-App Purchase,1.73,Electronics
2024-05-15,App Store In-App Purchase,3.24,Electronics
2024-05-15,App Store In-App Purchase,1.1,Electronics
2024-05-15,App Store In-App Purchase,4.2,Electronics
2024-05-15,App Store In-App Purchase,2.73,Electronics
2024-05-15,App Store In-App Purchase,4.48,Electronics
2024-05-15,App Store In-App Purchase,3.54,Electronics
2024-05-15,App Store In-App Purchase,3.62,Electronics
2024-05-15,App Store In-App Purchase,3.31,Electronics
2024-05-15,App Store In-App Purchase,4.91,Electronics
2024-05-15,App Store In-App Purchase,1.19,Electronics
2024-05-15,App Store In-App Purchase,4.46,Electronics
2024-05-15,App Store In-App Purchase,3.49,Electronics
2024-05-15,App Store In-App Purchase,3.73,Electronics
2024-05-15,App Store In-App Purchase,4.0,Electronics
2024-05-15,App Store In-App Purchase,2.48,Electronics
2024-05-15,App Store In-App Purchase,3.61,Electronics
2024-05-15,App Store In-App Purchase,1.31,Electronics
2024-05-15,App Store In-App Purchase,2.31,Electronics
2024-05-15,App Store In-App Purchase,3.01,Electronics
2024-05-15,App Store In-App Purchase,2.48,Electronics
2024-05-15,App Store In-App Purchase,4.51,Electronics
2024-05-15,App Store In-App Purchase,2.58,Electronics
2024-05-15,App Store In-App Purchase,2.88,Electronics
2024-05-15,App Store In-App Purchase,3.62,Electronics
2024-05-15,App Store In-App Purchase,2.32,Electronics
2024-05-15,App Store In-App Purchase,4.3,Electronics
2024-05-15,App Store In-App Purchase,1.97,Electronics
2024-05-15,App Store In-App Purchase,3.51,Electronics
2024-05-16,Netflix,234.31,Subscription
2024-05-16,Walmart,490.86,Shopping
2024-05-16,Doctor Visit,24.27,Healthcare
2024-05-17,Insurance Premium,447.88,Healthcare
2024-05-18,Trader Joes,482.51,Groceries
2024-05-18,Water Utility,482.95,Utilities
2024-05-18,Apple Store,391.65,Electronics
2024-05-18,Apple Store,166.77,Electronics
2024-05-18,Macy's,243.51,Shopping
2024-05-18,Amazon,213.1,Shopping
2024-05-18,Micro Center,97.01,Electronics
2024-05-19,Olive Garden,392.18,Dining
2024-05-19,UberEats,251.43,Food Delivery
2024-05-19,Freelance Payment,5429.49,Income
2024-05-19,Consulting Invoice,5465.73,Income
2024-05-20,Local Gym,26.45,Entertainment
2024-05-20,Olive Garden,414.16,Dining
2024-05-21,Water Utility,448.56,Utilities
2024-05-21,Bowling Alley,327.61,Entertainment
2024-05-22,Olive Garden,291.58,Dining
2024-05-23,GrubHub,455.18,Food Delivery
2024-05-23,Uber,84.75,Transport
2024-05-23,Cell Phone Bill,429.59,Utilities
2024-05-24,Insurance Premium,465.2,Healthcare
2024-05-24,Monthly Rent Payment,1791.23,Rent
2024-05-24,Cell Phone Bill,258.51,Utilities
2024-05-25,Bowling Alley,275.07,Entertainment
2024-05-25,Movie Theater,182.83,Entertainment
2024-05-26,Safeway,353.84,Groceries
2024-05-26,Stock Dividend,2575.5,Income
2024-05-26,Electric Bill,443.64,Utilities
2024-05-27,Cell Phone Bill,398.22,Utilities
2024-05-28,Micro Center,189.74,Electronics
2024-05-28,Spotify,453.34,Subscription
2024-05-28,Apartment Lease,1982.29,Rent
2024-05-29,Chipotle,211.41,Dining
2024-05-29,Macy's,395.96,Shopping
2024-05-30,UberEats,168.0,Food Delivery
2024-05-30,Apple Store,470.17,Electronics
2024-06-01,Disney+ Amazon Prime,310.44,Subscription
2024-06-01,Consulting Invoice,2495.53,Income
2024-06-01,Electric Bill,20.0,Utilities
2024-06-01,Sushi Place,347.59,Dining
2024-06-01,Uber,483.3,Transport
2024-06-02,Internet Subscription,207.69,Utilities
2024-06-02,Sushi Place,13.12,Dining
2024-06-02,DoorDash,154.6,Food Delivery
2024-06-02,GrubHub,255.91,Food Delivery
2024-06-02,Whole Foods,113.54,Groceries
2024-06-02,Internet Subscription,233.73,Utilities
2024-06-02,Target,82.17,Shopping
2024-06-03,Pharmacy,46.06,Healthcare
2024-06-03,Bowling Alley,410.91,Entertainment
2024-06-04,GrubHub,499.65,Food Delivery
2024-06-04,Concert Venue,189.73,Entertainment
2024-06-04,Insurance Premium,470.33,Healthcare
2024-06-04,Spotify,86.7,Subscription
2024-06-05,Whole Foods,85.51,Groceries
2024-06-05,Studio Rental,2051.92,Rent
2024-06-06,Train Ticket,169.32,Transport
2024-06-07,Spotify,180.47,Subscription
2024-06-07,Studio Rental,1554.76,Rent
2024-06-07,Disney+ Amazon Prime,446.38,Subscription
2024-06-08,Olive Garden,276.51,Dining
2024-06-08,Dental Care,5.43,Healthcare
2024-06-08,Suspicious Wire Transfer,9285.93,Shopping
2024-06-08,Apartment Lease,1896.96,Rent
2024-06-09,Electric Bill,44.4,Utilities
2024-06-09,Uber,489.02,Transport
2024-06-09,Movie Theater,229.26,Entertainment
2024-06-09,Safeway,169.41,Groceries
2024-06-10,Disney+ Amazon Prime,326.09,Subscription
2024-06-10,DoorDash,362.8,Food Delivery
2024-06-11,City Parking,228.34,Transport
2024-06-11,Olive Garden,495.27,Dining
2024-06-11,Safeway,305.93,Groceries
2024-06-11,Lyft,96.07,Transport
2024-06-11,Trader Joes,281.72,Groceries
2024-06-12,Market Basket,355.3,Groceries
2024-06-12,UberEats,32.1,Food Delivery
2024-06-12,Bowling Alley,271.48,Entertainment
2024-06-13,Stock Dividend,5663.72,Income
2024-06-13,Apartment Lease,1776.59,Rent
2024-06-14,Spotify,316.57,Subscription
2024-06-15,Bowling Alley,301.87,Entertainment
2024-06-16,Micro Center,65.04,Electronics
2024-06-17,Micro Center,331.23,Electronics
2024-06-17,Cell Phone Bill,424.68,Utilities
2024-06-17,Disney+ Amazon Prime,483.78,Subscription
2024-06-17,Trader Joes,207.57,Groceries
2024-06-18,Local Gym,212.67,Entertainment
2024-06-18,Bowling Alley,170.27,Entertainment
2024-06-19,Cell Phone Bill,30.58,Utilities
2024-06-20,Doctor Visit,308.27,Healthcare
2024-06-20,Trader Joes,488.48,Groceries
2024-06-20,Stock Dividend,5069.61,Income
2024-06-21,Walmart,120.75,Shopping
2024-06-21,City Parking,467.58,Transport
2024-06-21,Consulting Invoice,2156.72,Income
2024-06-23,GrubHub,453.33,Food Delivery
2024-06-23,Train Ticket,144.51,Transport
2024-06-23,Amazon,19.12,Shopping
2024-06-24,GrubHub,208.22,Food Delivery
2024-06-24,Netflix,471.56,Subscription
2024-06-24,Netflix,163.52,Subscription
2024-06-24,Uber,20.75,Transport
2024-06-24,Olive Garden,307.83,Dining
2024-06-25,Freelance Payment,5735.17,Income
2024-06-26,Apple Store,392.31,Electronics
2024-06-26,Local Gym,59.53,Entertainment
2024-06-26,Postmates,16.67,Food Delivery
2024-06-26,Apple Store,338.02,Electronics
2024-06-27,Walmart,24.41,Shopping
2024-06-27,Apartment Lease,1819.51,Rent
2024-06-27,Shell Gas Station,354.49,Transport
2024-06-28,UberEats,22.6,Food Delivery
2024-06-28,DoorDash,441.27,Food Delivery
2024-06-28,Pharmacy,130.54,Healthcare
2024-06-28,Water Utility,135.63,Utilities
2024-06-28,Studio Rental,2121.99,Rent
2024-06-29,UberEats,209.29,Food Delivery
2024-06-29,Stock Dividend,7035.26,Income
2024-06-29,Bowling Alley,21.01,Entertainment
2024-06-29,Disney+ Amazon Prime,72.73,Subscription
2024-06-30,Electric Bill,449.48,Utilities
2024-06-30,Stater Bros,12.94,Groceries
2024-07-01,GrubHub,70.93,Food Delivery
2024-07-02,Apartment Lease,1717.84,Rent
2024-07-02,Studio Rental,2417.01,Rent
2024-07-03,Macy's,133.36,Shopping
2024-07-04,Apartment Lease,1403.17,Rent
2024-07-04,Water Utility,358.11,Utilities
2024-07-05,Macy's,338.23,Shopping
2024-07-05,Chipotle,449.99,Dining
2024-07-06,Apple Store,152.45,Electronics
2024-07-06,Dell Store,365.78,Electronics
2024-07-06,Monthly Rent Payment,2421.83,Rent
2024-07-06,Monthly Rent Payment,1419.79,Rent
2024-07-07,Disney+ Amazon Prime,124.45,Subscription
2024-07-07,DoorDash,249.3,Food Delivery
2024-07-08,Monthly Rent Payment,1364.77,Rent
2024-07-08,Doctor Visit,108.63,Healthcare
2024-07-09,Water Utility,164.57,Utilities
2024-07-10,Electric Bill,134.03,Utilities
2024-07-11,Dell Store,230.55,Electronics
2024-07-11,Bowling Alley,317.69,Entertainment
2024-07-11,TechCorp Salary,4039.58,Income
2024-07-11,Uber,289.2,Transport
2024-07-11,Netflix,345.98,Subscription
2024-07-11,Consulting Invoice,6940.83,Income
2024-07-12,Stock Dividend,3529.53,Income
2024-07-12,Samsung Online,333.42,Electronics
2024-07-12,Disney+ Amazon Prime,398.13,Subscription
2024-07-13,Market Basket,191.01,Groceries
2024-07-13,Dell Store,147.17,Electronics
2024-07-13,Freelance Payment,4347.92,Income
2024-07-14,Concert Venue,212.11,Entertainment
2024-07-14,Consulting Invoice,6569.66,Income
2024-07-15,Apple Store,371.1,Electronics
2024-07-15,Concert Venue,483.86,Entertainment
2024-07-15,DoorDash,222.78,Food Delivery
2024-07-16,Electric Bill,301.81,Utilities
2024-07-17,Uber,57.49,Transport
2024-07-17,Market Basket,352.54,Groceries
2024-07-18,Insurance Premium,67.68,Healthcare
2024-07-18,Market Basket,460.19,Groceries
2024-07-18,Olive Garden,165.06,Dining
2024-07-19,Shell Gas Station,215.06,Transport
2024-07-19,Chipotle,103.45,Dining
2024-07-20,Spotify,360.6,Subscription
2024-07-20,Studio Rental,1131.29,Rent
2024-07-20,Apple TV+,8.78,Subscription
2024-07-21,Lyft,207.34,Transport
2024-07-21,Amazon,273.86,Shopping
2024-07-21,Dental Care,161.59,Healthcare
2024-07-22,Pharmacy,71.91,Healthcare
2024-07-22,Spotify,179.43,Subscription
2024-07-22,Walmart,427.26,Shopping
2024-07-22,Monthly Rent Payment,1183.63,Rent
2024-07-22,Safeway,473.23,Groceries
2024-07-22,Insurance Premium,432.58,Healthcare
2024-07-22,Lyft,175.72,Transport
2024-07-23,GrubHub,166.44,Food Delivery
2024-07-23,Concert Venue,366.28,Entertainment
2024-07-23,Studio Rental,2015.42,Rent
2024-07-23,Amazon,367.03,Shopping
2024-07-23,Lyft,60.48,Transport
2024-07-24,Postmates,285.86,Food Delivery
2024-07-24,Spotify,447.95,Subscription
2024-07-25,Monthly Rent Payment,1120.26,Rent
2024-07-25,Doctor Visit,485.81,Healthcare
2024-07-25,Olive Garden,86.58,Dining
2024-07-26,Studio Rental,1306.93,Rent
2024-07-26,Freelance Payment,6737.89,Income
2024-07-26,Stater Bros,30.48,Groceries
2024-07-26,Sushi Place,416.98,Dining
2024-07-26,Concert Venue,419.76,Entertainment
2024-07-27,DoorDash,351.31,Food Delivery
2024-07-28,DoorDash,6.89,Food Delivery
2024-07-28,Local Gym,393.7,Entertainment
2024-07-28,Best Buy,183.02,Shopping
2024-07-28,Water Utility,10.86,Utilities
2024-07-28,Water Utility,55.56,Utilities
2024-07-29,Doctor Visit,128.24,Healthcare
2024-07-29,Monthly Rent Payment,1358.29,Rent
2024-07-29,Disney+ Amazon Prime,123.56,Subscription
2024-07-29,Whole Foods,276.54,Groceries
2024-07-30,Olive Garden,386.21,Dining
2024-07-30,Macy's,253.2,Shopping
2024-07-31,Target,429.6,Shopping
2024-07-31,Uber,498.14,Transport
2024-07-31,Bowling Alley,28.19,Entertainment
2024-08-01,Uber,95.58,Transport
2024-08-01,Apple TV+,320.4,Subscription
2024-08-01,Pharmacy,107.32,Healthcare
2024-08-02,Train Ticket,202.2,Transport
2024-08-02,Bowling Alley,111.22,Entertainment
2024-08-02,Market Basket,157.83,Groceries
2024-08-02,UberEats,254.6,Food Delivery
2024-08-03,Concert Venue,408.03,Entertainment
2024-08-03,Stater Bros,228.24,Groceries
2024-08-03,Bowling Alley,94.1,Entertainment
2024-08-03,Local Gym,340.34,Entertainment
2024-08-03,Apartment Lease,1588.7,Rent
2024-08-04,Walmart,236.27,Shopping
2024-08-04,Water Utility,484.51,Utilities
2024-08-04,Trader Joes,100.3,Groceries
2024-08-04,Freelance Payment,6267.97,Income
2024-08-04,DoorDash,89.09,Food Delivery
2024-08-04,Netflix,252.37,Subscription
2024-08-04,Local Gym,451.9,Entertainment
2024-08-05,Samsung Online,432.07,Electronics
2024-08-05,Concert Venue,283.58,Entertainment
2024-08-05,Consulting Invoice,4725.73,Income
2024-08-06,Freelance Payment,3578.49,Income
2024-08-06,Olive Garden,115.51,Dining
2024-08-06,Cell Phone Bill,64.75,Utilities
2024-08-07,Samsung Online,314.57,Electronics
2024-08-08,Sushi Place,404.19,Dining
2024-08-08,Bowling Alley,443.41,Entertainment
2024-08-08,Starbucks,314.0,Dining
2024-08-09,Spotify,119.52,Subscription
2024-08-09,TechCorp Salary,3651.67,Income
2024-08-09,Target,15.76,Shopping
2024-08-10,GrubHub,53.35,Food Delivery
2024-08-10,GrubHub,162.23,Food Delivery
2024-08-10,Apple Store,378.04,Electronics
2024-08-10,Movie Theater,128.73,Entertainment
2024-08-11,Starbucks,478.41,Dining
2024-08-11,Studio Rental,1941.7,Rent
2024-08-12,Pharmacy,384.05,Healthcare
2024-08-12,Doctor Visit,267.45,Healthcare
2024-08-13,Apple Store,240.34,Electronics
2024-08-13,Spotify,367.21,Subscription
2024-08-14,Postmates,248.76,Food Delivery
2024-08-15,Whole Foods,78.77,Groceries
2024-08-15,Olive Garden,415.8,Dining
2024-08-15,Spotify,39.16,Subscription
2024-08-15,Spotify,237.25,Subscription
2024-08-15,Best Buy,420.41,Shopping
2024-08-16,Micro Center,325.29,Electronics
2024-08-17,City Parking,434.06,Transport
2024-08-17,Trader Joes,311.01,Groceries
2024-08-17,Shell Gas Station,63.68,Transport
2024-08-18,Internet Subscription,131.65,Utilities
2024-08-18,Apartment Lease,1297.71,Rent
2024-08-18,Movie Theater,62.25,Entertainment
2024-08-19,Movie Theater,301.85,Entertainment
2024-08-19,GrubHub,240.25,Food Delivery
2024-08-20,Trader Joes,410.39,Groceries
2024-08-20,Target,418.14,Shopping
2024-08-20,Olive Garden,377.48,Dining
2024-08-20,Movie Theater,380.25,Entertainment
2024-08-20,Pharmacy,45.14,Healthcare
2024-08-21,Postmates,329.58,Food Delivery
2024-08-21,Local Gym,419.66,Entertainment
2024-08-21,Disney+ Amazon Prime,91.93,Subscription
2024-08-21,Spotify,238.29,Subscription
2024-08-21,Suspicious Wire Transfer,12312.84,Shopping
2024-08-22,City Parking,406.78,Transport
2024-08-22,Dental Care,406.54,Healthcare
2024-08-23,Pharmacy,167.01,Healthcare
2024-08-23,Postmates,301.71,Food Delivery
2024-08-23,Uber,334.33,Transport
2024-08-23,Monthly Rent Payment,1236.68,Rent
2024-08-23,Postmates,451.26,Food Delivery
2024-08-23,Apple Store,394.6,Electronics
2024-08-23,Dell Store,244.57,Electronics
2024-08-23,Apartment Lease,1255.44,Rent
2024-08-24,Walmart,71.34,Shopping
2024-08-26,Electric Bill,196.49,Utilities
2024-08-26,Studio Rental,2236.3,Rent
2024-08-26,Walmart,146.83,Shopping
2024-08-27,Cell Phone Bill,463.3,Utilities
2024-08-27,Lyft,371.48,Transport
2024-08-27,Consulting Invoice,2961.04,Income
2024-08-27,Postmates,235.21,Food Delivery
2024-08-27,Samsung Online,364.84,Electronics
2024-08-27,Amazon,322.17,Shopping
2024-08-28,Netflix,127.56,Subscription
2024-08-29,Apartment Lease,1878.89,Rent
2024-08-29,Whole Foods,388.85,Groceries
2024-08-29,Apartment Lease,2224.5,Rent
2024-08-29,Internet Subscription,442.69,Utilities
2024-08-30,Cell Phone Bill,216.29,Utilities
2024-08-30,TechCorp Salary,7692.3,Income
2024-08-30,Macy's,35.64,Shopping
2024-08-30,Spotify,101.68,Subscription
2024-08-30,Internet Subscription,291.18,Utilities
2024-08-30,Pharmacy,200.83,Healthcare
2024-08-30,Stock Dividend,2637.31,Income
2024-08-31,Insurance Premium,97.21,Healthcare
2024-08-31,Train Ticket,99.12,Transport
2024-08-31,Doctor Visit,340.1,Healthcare
2024-08-31,Studio Rental,1317.53,Rent
2024-08-31,Monthly Rent Payment,1294.11,Rent
2024-09-01,Spotify,450.27,Subscription
2024-09-01,Suspicious Wire Transfer,13183.67,Shopping
2024-09-01,Monthly Rent Payment,1008.0,Rent
2024-09-02,GrubHub,361.49,Food Delivery
2024-09-03,Internet Subscription,70.75,Utilities
2024-09-03,Micro Center,139.72,Electronics
2024-09-03,Market Basket,222.84,Groceries
2024-09-03,Bowling Alley,8.01,Entertainment
2024-09-03,Lyft,41.83,Transport
2024-09-04,Safeway,491.42,Groceries
2024-09-05,Safeway,309.3,Groceries
2024-09-05,Train Ticket,290.25,Transport
2024-09-06,Electric Bill,136.5,Utilities
2024-09-06,Postmates,183.22,Food Delivery
2024-09-07,Lyft,493.61,Transport
2024-09-07,Studio Rental,2095.96,Rent
2024-09-08,Disney+ Amazon Prime,53.72,Subscription
2024-09-08,TechCorp Salary,7808.63,Income
2024-09-09,Lyft,364.04,Transport
2024-09-09,Studio Rental,1300.98,Rent
2024-09-09,Insurance Premium,361.82,Healthcare
2024-09-10,Apartment Lease,1129.1,Rent
2024-09-10,Local Gym,248.52,Entertainment
2024-09-10,Olive Garden,250.35,Dining
2024-09-10,Amazon,242.28,Shopping
2024-09-11,Uber,222.03,Transport
2024-09-11,Internet Subscription,188.57,Utilities
2024-09-12,Bowling Alley,469.99,Entertainment
2024-09-12,Studio Rental,1746.34,Rent
2024-09-12,Apple TV+,6.51,Subscription
2024-09-12,Shell Gas Station,413.16,Transport
2024-09-12,Electric Bill,33.11,Utilities
2024-09-12,Movie Theater,344.69,Entertainment
2024-09-13,Insurance Premium,256.27,Healthcare
2024-09-13,Amazon,40.43,Shopping
2024-09-13,Samsung Online,495.27,Electronics
2024-09-13,Dental Care,394.03,Healthcare
2024-09-13,Local Gym,175.86,Entertainment
2024-09-14,Amazon,227.48,Shopping
2024-09-15,Apartment Lease,1226.56,Rent
2024-09-15,Apartment Lease,1586.61,Rent
2024-09-16,Apple TV+,45.06,Subscription
2024-09-16,Electric Bill,81.67,Utilities
2024-09-16,Pharmacy,311.99,Healthcare
2024-09-16,Doctor Visit,319.54,Healthcare
2024-09-17,Insurance Premium,375.25,Healthcare
2024-09-17,Freelance Payment,3416.94,Income
2024-09-17,Best Buy,391.45,Shopping
2024-09-17,Shell Gas Station,419.74,Transport
2024-09-19,Studio Rental,1983.89,Rent
2024-09-19,Shell Gas Station,163.19,Transport
2024-09-19,Netflix Premium Annual Plan,299.99,Subscription
2024-09-19,Trader Joes,349.9,Groceries
2024-09-19,Apple TV+,453.05,Subscription
2024-09-19,Uber,54.84,Transport
2024-09-20,Postmates,297.66,Food Delivery
2024-09-20,Shell Gas Station,154.1,Transport
2024-09-20,Uber,378.85,Transport
2024-09-21,Consulting Invoice,6910.51,Income
2024-09-24,Cell Phone Bill,451.98,Utilities
2024-09-24,Doctor Visit,483.8,Healthcare
2024-09-25,Whole Foods,305.21,Groceries
2024-09-25,DoorDash,341.48,Food Delivery
2024-09-25,Apple Store,172.67,Electronics
2024-09-26,Movie Theater,81.34,Entertainment
2024-09-26,DoorDash,487.83,Food Delivery
2024-09-26,Disney+ Amazon Prime,57.16,Subscription
2024-09-27,Shell Gas Station,205.46,Transport
2024-09-27,Samsung Online,436.3,Electronics
2024-09-27,Disney+ Amazon Prime,249.94,Subscription
2024-09-28,Electric Bill,447.64,Utilities
2024-09-28,Dell Store,393.71,Electronics
2024-09-28,Starbucks,69.31,Dining
2024-09-29,Freelance Payment,6276.93,Income
2024-09-30,Postmates,63.83,Food Delivery
2024-09-30,Macy's,318.51,Shopping
2024-09-30,Stock Dividend,5310.48,Income
2024-09-30,Uber,390.52,Transport
2024-09-30,City Parking,434.58,Transport
2024-10-01,Samsung Online,115.97,Electronics
2024-10-01,Micro Center,168.22,Electronics
2024-10-02,Doctor Visit,122.03,Healthcare
2024-10-02,Local Gym,394.11,Entertainment
2024-10-02,Local Bistro,415.19,Dining
2024-10-03,Safeway,278.38,Groceries
2024-10-03,Monthly Rent Payment,1242.96,Rent
2024-10-03,Amazon,284.71,Shopping
2024-10-03,Disney+ Amazon Prime,359.12,Subscription
2024-10-04,Samsung Online,34.11,Electronics
2024-10-05,Micro Center,20.57,Electronics
2024-10-05,Internet Subscription,100.14,Utilities
2024-10-05,Shell Gas Station,452.42,Transport
2024-10-05,Apartment Lease,1188.76,Rent
2024-10-06,Insurance Premium,267.69,Healthcare
2024-10-06,Insurance Premium,481.01,Healthcare
2024-10-07,Doctor Visit,101.39,Healthcare
2024-10-07,Macy's,231.34,Shopping
2024-10-08,Apple Store,133.1,Electronics
2024-10-08,Amazon,300.46,Shopping
